Concept;Feature;BR_Label
accordion;a_musical_instrument;taxonomic
accordion;has_keys;visual-form_and_surface
accordion;requires_air;encyclopaedic
accordion;associated_with_polkas;encyclopaedic
accordion;has_buttons;visual-form_and_surface
accordion;used_by_moving_bellows;function
accordion;inbeh_-_produces_music;sound
accordion;is_loud;sound
accordion;worn_on_chest;function
airplane;beh_-_flies;visual-motion
airplane;has_wings;visual-form_and_surface
airplane;used_for_passengers;function
airplane;is_fast;visual-motion
airplane;requires_pilots;encyclopaedic
airplane;used_for_transportation;function
airplane;found_in_airports;encyclopaedic
airplane;is_large;visual-form_and_surface
airplane;made_of_metal;visual-form_and_surface
airplane;inbeh_-_crashes;visual-motion
airplane;used_for_travel;function
airplane;has_a_propeller;visual-form_and_surface
airplane;has_engines;visual-form_and_surface
alligator;has_teeth;visual-form_and_surface
alligator;is_green;visual-colour
alligator;an_animal;taxonomic
alligator;is_long;visual-form_and_surface
alligator;a_reptile;taxonomic
alligator;lives_in_swamps;encyclopaedic
alligator;has_scales;visual-form_and_surface
alligator;lives_in_water;encyclopaedic
alligator;has_a_tail;visual-form_and_surface
alligator;is_scary;encyclopaedic
alligator;beh_-_swims;visual-motion
alligator;has_a_mouth;visual-form_and_surface
alligator;lives_in_Florida;encyclopaedic
alligator;beh_-_eats_people;visual-motion
alligator;has_jaws;visual-form_and_surface
alligator;is_dangerous;encyclopaedic
ambulance;has_a_siren;visual-form_and_surface
ambulance;has_flashing_lights;visual-form_and_surface
ambulance;is_fast;visual-motion
ambulance;is_white;visual-colour
ambulance;used_by_hospitals;function
ambulance;used_for_emergencies;function
ambulance;a_vehicle;taxonomic
ambulance;requires_caregivers;encyclopaedic
ambulance;has_4_wheels;visual-form_and_surface
ambulance;is_red;visual-colour
ambulance;used_by_sick_people;function
ambulance;used_for_injuries;function
ambulance;a_van;taxonomic
ambulance;is_large;visual-form_and_surface
ambulance;is_loud;sound
ambulance;is_orange;visual-colour
ambulance;used_by_paramedics;function
ambulance;used_for_rescuing;function
ambulance;used_for_transportation;function
anchor;is_heavy;tactile
anchor;made_of_metal;visual-form_and_surface
anchor;found_on_boats;encyclopaedic
anchor;used_for_holding_boats_still;function
anchor;inbeh_-_sinks;encyclopaedic
anchor;used_for_staying_stationary;function
anchor;found_in_water;encyclopaedic
anchor;made_of_iron;visual-form_and_surface
anchor;is_attached_to_chains;encyclopaedic
anchor;is_large;visual-form_and_surface
anchor;used_on_boats;encyclopaedic
anchor;an_inanimate;taxonomic
anchor;is_attached_to_ropes;encyclopaedic
anchor;used_by_sailors;function
ant;an_insect;taxonomic
ant;is_small;visual-form_and_surface
ant;is_black;visual-colour
ant;lives_in_ground;encyclopaedic
ant;is_strong;encyclopaedic
ant;is_red;visual-colour
ant;lives_in_a_hill;encyclopaedic
ant;lives_in_a_colony;encyclopaedic
ant;has_6_legs;visual-form_and_surface
ant;beh_-_bites;visual-motion
ant;beh_-_crawls;visual-motion
ant;has_antennae;visual-form_and_surface
apartment;used_for_living_in;function
apartment;has_bedrooms;visual-form_and_surface
apartment;found_in_buildings;encyclopaedic
apartment;requires_rent;encyclopaedic
apartment;has_a_kitchen;visual-form_and_surface
apartment;is_small;visual-form_and_surface
apartment;has_a_bathroom;visual-form_and_surface
apartment;has_a_bedroom;visual-form_and_surface
apartment;has_tenants;encyclopaedic
apartment;associated_with_2_bedrooms;encyclopaedic
apartment;is_furnished;encyclopaedic
apartment;requires_a_landlord;encyclopaedic
apartment;a_house;taxonomic
apartment;has_a_balcony;visual-form_and_surface
apartment;made_of_brick;visual-form_and_surface
apartment;found_in_high-rises;encyclopaedic
apartment;has_elevators;encyclopaedic
apartment;has_windows;visual-form_and_surface
apple;is_red;visual-colour
apple;a_fruit;taxonomic
apple;grows_on_trees;encyclopaedic
apple;is_green;visual-colour
apple;eaten_in_pies;function
apple;is_crunchy;tactile
apple;has_seeds;visual-form_and_surface
apple;is_juicy;tactile
apple;tastes_sweet;taste
apple;is_round;visual-form_and_surface
apple;is_delicious;taste
apple;is_nutritious;encyclopaedic
apple;is_yellow;visual-colour
apple;has_a_core;visual-form_and_surface
apple;has_skin;visual-form_and_surface
apple;tastes_sour;taste
apple;used_for_cider;function
apple;eg_-_granny_smith;taxonomic
apple;is_worm_infested;encyclopaedic
apron;used_for_cooking;function
apron;worn_for_protection;function
apron;made_of_cloth;visual-form_and_surface
apron;has_strings;visual-form_and_surface
apron;worn_for_covering_clothes;function
apron;worn_in_kitchens;encyclopaedic
apron;worn_around_neck;function
apron;made_of_cotton;visual-form_and_surface
apron;worn_around_waist;function
apron;is_long;visual-form_and_surface
apron;used_for_cleaning;function
apron;worn_by_cooks;function
apron;worn_by_women;function
armour;worn_for_protection;function
armour;made_of_metal;visual-form_and_surface
armour;worn_by_knights;function
armour;is_heavy;tactile
armour;is_medieval;encyclopaedic
armour;is_shiny;visual-form_and_surface
armour;is_silver;visual-colour
armour;is_strong;encyclopaedic
armour;used_for_covering_body;function
armour;used_long_ago;encyclopaedic
armour;worn_for_fighting;function
ashtray;used_for_ashes;function
ashtray;made_of_glass;visual-form_and_surface
ashtray;used_for_cigarettes;function
ashtray;has_holders;visual-form_and_surface
ashtray;is_dirty;visual-form_and_surface
ashtray;is_smelly;smell
ashtray;used_by_smokers;function
ashtray;is_round;visual-form_and_surface
ashtray;found_in_houses;encyclopaedic
ashtray;made_of_plastic;visual-form_and_surface
ashtray;used_for_butts;function
asparagus;a_vegetable;taxonomic
asparagus;is_green;visual-colour
asparagus;is_long;visual-form_and_surface
asparagus;is_edible;function
asparagus;grows_in_gardens;encyclopaedic
asparagus;is_healthy;encyclopaedic
asparagus;eaten_by_cooking;function
asparagus;eaten_in_soups;function
asparagus;tastes_bad;taste
avocado;is_green;visual-colour
avocado;a_fruit;taxonomic
avocado;is_edible;function
avocado;a_vegetable;taxonomic
avocado;has_seeds;visual-form_and_surface
avocado;used_for_making_guacamole;function
avocado;has_a_large_pit;visual-form_and_surface
avocado;is_high_in_fat;encyclopaedic
avocado;tastes_good;taste
avocado;is_soft;tactile
axe;used_for_chopping;function
axe;used_for_chopping_wood;function
axe;has_a_handle;visual-form_and_surface
axe;is_sharp;tactile
axe;a_tool;taxonomic
axe;has_a_wooden_handle;visual-form_and_surface
axe;used_by_lumberjacks;function
axe;is_heavy;tactile
axe;has_a_blade;visual-form_and_surface
axe;is_dangerous;encyclopaedic
axe;has_a_head;visual-form_and_surface
axe;used_for_cutting;function
axe;used_for_killing;function
axe;has_a_metal_blade;visual-form_and_surface
axe;a_weapon;taxonomic
axe;used_in_movies/Jason;function
bag;made_of_plastic;visual-form_and_surface
bag;made_of_paper;visual-form_and_surface
bag;used_for_carrying_things;function
bag;has_handles;visual-form_and_surface
bag;different_sizes;visual-form_and_surface
bag;is_breakable;encyclopaedic
bag;different_colours;visual-colour
bag;used_for_holding_things;function
bag;found_in_grocery_stores;encyclopaedic
bag;is_useful;encyclopaedic
bag;made_of_material;visual-form_and_surface
bag;used_for_carrying_groceries;function
bagpipe;a_musical_instrument;taxonomic
bagpipe;associated_with_Scotland;encyclopaedic
bagpipe;used_for_music;function
bagpipe;requires_air;encyclopaedic
bagpipe;has_pipes;visual-form_and_surface
bagpipe;has_a_bag;visual-form_and_surface
bagpipe;is_loud;sound
bagpipe;is_plaid;visual-colour
bagpipe;used_in_marching_bands;function
ball;used_by_bouncing;function
ball;is_round;visual-form_and_surface
ball;used_for_sports;function
ball;used_by_throwing;function
ball;used_for_playing;function
ball;different_colours;visual-colour
ball;is_fun;encyclopaedic
ball;is_hard;tactile
ball;used_for_games;function
balloon;requires_helium;encyclopaedic
balloon;inbeh_-_floats;visual-motion
balloon;requires_air;encyclopaedic
balloon;different_colours;visual-colour
balloon;is_round;visual-form_and_surface
balloon;used_at_parties;encyclopaedic
balloon;inbeh_-_bursts;sound
balloon;inbeh_-_expands;visual-motion
balloon;requires_hot_air;encyclopaedic
balloon;inbeh_-_produces_a_loud_noise_when_popped;sound
balloon;associated_with_hot_air_balloons;encyclopaedic
balloon;is_large;visual-form_and_surface
balloon;is_light_weight;tactile
balloon;made_of_rubber;visual-form_and_surface
balloon;is_colourful;visual-colour
balloon;made_of_plastic;visual-form_and_surface
balloon;used_by_children;function
balloon;used_by_clowns;function
banana;is_yellow;visual-colour
banana;a_fruit;taxonomic
banana;is_edible;function
banana;is_soft;tactile
banana;grows_on_trees;encyclopaedic
banana;eaten_by_peeling;function
banana;eaten_by_monkeys;function
banana;is_long;visual-form_and_surface
banana;tastes_good;taste
banana;grows_in_tropical_climates;encyclopaedic
banana;has_peel;visual-form_and_surface
banana;is_green;visual-colour
banana;is_healthy;encyclopaedic
banana;has_a_skin;visual-form_and_surface
banana;is_round;visual-form_and_surface
banjo;has_strings;visual-form_and_surface
banjo;a_musical_instrument;taxonomic
banjo;made_of_wood;visual-form_and_surface
banjo;used_for_music;function
banjo;inbeh_-_produces_music;sound
banjo;used_in_bands;function
banjo;is_round;visual-form_and_surface
banjo;like_a_guitar;encyclopaedic
banjo;inbeh_-_produces_sound;sound
banjo;used_by_playing;function
banjo;has_a_neck;visual-form_and_surface
banjo;used_by_musicians;function
banner;made_of_paper;visual-form_and_surface
banner;has_words_on_it;visual-form_and_surface
banner;used_by_hanging;function
banner;has_a_message;visual-form_and_surface
banner;is_long;visual-form_and_surface
banner;is_large;visual-form_and_surface
banner;used_for_advertising;function
banner;used_for_celebrating;function
banner;a_sign;taxonomic
banner;is_colourful;visual-colour
banner;is_rectangular;visual-form_and_surface
banner;made_of_plastic;visual-form_and_surface
banner;used_for_events;encyclopaedic
barn;used_for_storage;function
barn;found_on_farms;encyclopaedic
barn;used_for_animals;function
barn;made_of_wood;visual-form_and_surface
barn;used_for_storing_hay;function
barn;is_large;visual-form_and_surface
barn;is_red;visual-colour
barn;a_building;taxonomic
barn;found_in_the_country;encyclopaedic
barn;has_a_hay_loft;visual-form_and_surface
barn;used_for_storing_farm_equipment;function
barn;is_smelly;smell
barn;is_dirty;visual-form_and_surface
barn;has_doors;visual-form_and_surface
barn;used_for_cows;function
barn;has_stalls;visual-form_and_surface
barn;used_for_storing_tractors;function
barrel;made_of_wood;visual-form_and_surface
barrel;is_round;visual-form_and_surface
barrel;used_for_storage;function
barrel;a_container;taxonomic
barrel;is_brown;visual-colour
barrel;used_for_storing_beer;function
barrel;is_large;visual-form_and_surface
barrel;used_for_storing_wine;function
barrel;has_a_lid;visual-form_and_surface
barrel;has_metal_bands;visual-form_and_surface
barrel;used_for_storing_water;function
basement;used_for_storage;function
basement;found_below_ground;encyclopaedic
basement;is_cold;tactile
basement;found_on_the_bottom_floor;encyclopaedic
basement;is_dark;visual-form_and_surface
basement;is_damp;tactile
basement;made_of_cement;visual-form_and_surface
basement;part_of_a_house;encyclopaedic
basement;has_windows;visual-form_and_surface
basement;has_a_furnace;visual-form_and_surface
basement;has_a_foundation;visual-form_and_surface
basement;has_stairways;visual-form_and_surface
basement;has_walls;visual-form_and_surface
basement;is_musty;smell
basement;is_scary;encyclopaedic
basement;is_the_lowest_floor;encyclopaedic
basket;is_weaved;encyclopaedic
basket;used_for_holding_things;function
basket;has_a_handle;visual-form_and_surface
basket;made_of_wicker;visual-form_and_surface
basket;made_of_wood;visual-form_and_surface
basket;used_at_Easter;encyclopaedic
basket;used_by_carrying;function
basket;used_for_picnics;function
basket;used_for_fruit;function
bat_(animal);has_wings;visual-form_and_surface
bat_(animal);beh_-_flies;visual-motion
bat_(animal);beh_-_is_nocturnal;encyclopaedic
bat_(animal);is_black;visual-colour
bat_(animal);lives_in_caves;encyclopaedic
bat_(animal);has_fur;visual-form_and_surface
bat_(animal);an_animal;taxonomic
bat_(animal);beh_-_sleeps_upside_down;encyclopaedic
bat_(animal);is_blind;encyclopaedic
bat_(animal);beh_-_uses_radar_to_navigate;encyclopaedic
bat_(animal);beh_-_screeches;sound
bat_(animal);a_mammal;taxonomic
bat_(animal);has_fangs;visual-form_and_surface
bat_(animal);is_scary;encyclopaedic
bat_(animal);is_small;visual-form_and_surface
bat_(animal);associated_with_vampires;encyclopaedic
bat_(baseball);made_of_wood;visual-form_and_surface
bat_(baseball);used_for_hitting_balls;function
bat_(baseball);made_of_metal;visual-form_and_surface
bat_(baseball);is_long;visual-form_and_surface
bat_(baseball);used_for_hitting;function
bat_(baseball);used_for_sports;function
bat_(baseball);used_by_swinging;function
bat_(baseball);is_heavy;tactile
bathtub;found_in_bathrooms;encyclopaedic
bathtub;used_for_bathing;function
bathtub;used_for_holding_water;function
bathtub;is_white;visual-colour
bathtub;has_taps;encyclopaedic
bathtub;used_by_filling;function
bathtub;used_for_washing;function
bathtub;used_for_bubble_baths;function
bathtub;has_a_drain;visual-form_and_surface
bathtub;has_a_drain_plug;encyclopaedic
bathtub;requires_water;encyclopaedic
bathtub;is_hard;tactile
bathtub;is_large;visual-form_and_surface
bathtub;made_of_ceramic;visual-form_and_surface
bathtub;used_by_people;function
bathtub;used_for_showers;function
baton;is_long;visual-form_and_surface
baton;is_round;visual-form_and_surface
baton;like_a_stick;encyclopaedic
baton;made_of_metal;visual-form_and_surface
baton;used_by_twirling;function
baton;used_by_throwing_in_air;function
baton;made_of_wood;visual-form_and_surface
baton;used_in_relay_races;function
baton;used_by_cheerleaders;function
baton;used_in_marching_bands;function
bayonet;used_in_wars;encyclopaedic
bayonet;used_for_killing;function
bayonet;is_dangerous;encyclopaedic
